Make and Model,Quarter Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
PA-44-180 Seminole,91,2,2,2,2,4,3,0,4,6,12,20,24,2,9,6,8,7,3,4,2,2,3,6,0,5,15,4,5,1,1,4,5,1,3,4,6,2,10,7,5,0,2,2,1,1,3,5,7,0,3,5,8,2,8,8,4,4,6,8,5,7,3,5,7,2,1,7,7,1,4,0,5,4,2,6,5,5,10,9,13,9,8,8,15,4,2,9,7,2,3,2,8,4,4,4,9
PC-12,88,8,16,16,30,3,2,1,8,2,10,17,32,6,15,16,33,9,20,19,32,11,25,25,29,20,21,27,24,22,13,26,36,18,26,20,36,12,13,23,31,8,17,14,24,5,14,17,26,7,11,14,33,7,11,19,29,7,11,19,33,16,22,20,33,12,19,22,32,12,19,20,29,12,19,21,31,11,18,19,34,7,26,23,32,13,21,13,33,0,0,0,0,0,0,0,0
PA-28-181 Archer III,87,28,29,15,35,25,26,22,29,23,27,27,11,10,9,8,2,12,16,11,10,7,4,1,7,2,7,3,4,8,7,7,7,2,4,5,5,2,3,2,0,0,0,0,1,5,3,2,11,0,1,0,1,2,0,1,1,0,23,9,16,11,8,11,15,10,2,0,13,3,4,22,13,11,12,22,27,16,22,34,35,35,42,39,66,18,45,46,40,13,20,37,19,22,18,19,34
PA-34-220T Seneca V,71,10,17,13,17,7,17,8,10,11,9,13,5,21,18,12,9,5,12,5,6,3,3,3,1,1,2,4,5,4,8,10,4,4,6,6,6,5,7,9,6,2,0,2,3,2,2,5,13,4,6,7,4,4,3,1,9,1,6,2,13,0,2,4,4,0,3,1,4,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
DA40 (All),68,46,57,56,61,55,71,49,57,50,60,34,10,32,31,18,17,11,15,16,15,10,12,18,32,21,15,36,21,27,19,33,23,48,49,28,11,25,18,19,13,13,13,5,17,7,17,22,14,11,12,8,14,17,31,31,47,14,41,25,63,18,41,24,39,20,40,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirrus SR20,63,15,20,25,35,28,15,0,16,18,37,39,11,36,31,19,26,38,2,39,12,26,25,37,28,35,40,46,29,29,22,34,27,18,41,41,15,3,14,8,3,6,11,11,14,4,11,3,30,19,15,24,26,11,14,3,4,6,16,5,4,6,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kodiak 100,60,0,0,0,1,1,2,2,2,3,6,7,8,4,5,2,3,2,3,3,5,2,4,3,6,2,7,8,11,4,4,7,15,5,7,8,12,5,11,7,13,9,8,6,8,7,7,6,3,7,6,2,5,0,2,3,6,5,3,3,6,2,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirrus SR22,60,4,38,45,37,42,71,80,99,54,79,88,134,66,127,110,156,117,120,113,125,124,139,140,162,114,101,156,217,55,119,145,108,36,68,60,74,47,63,27,28,35,13,26,31,13,18,15,35,14,27,39,32,28,29,28,32,19,30,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA-28-161 Warrior III,58,2,4,10,4,14,14,13,2,8,6,9,9,6,9,6,13,2,8,12,9,7,6,4,1,9,14,10,4,4,6,8,1,6,7,8,6,4,2,10,7,0,2,3,3,8,14,0,1,4,3,1,7,8,4,4,4,0,0,2,0,0,0,3,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA-46-350P Malibu Mirage,57,14,13,18,18,22,26,15,0,0,0,1,9,2,22,6,15,2,1,0,4,3,3,6,3,3,6,2,0,0,7,11,13,9,9,8,4,6,4,3,8,2,2,0,3,5,7,6,8,8,6,7,12,12,10,13,14,12,12,9,9,6,9,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
